round,faith_reliability_mean,faith_overclaim_mean,faith_invested_mean,trust_reliability_mean,trust_overclaim_mean,trust_invested_mean
173,0.5540390622633132,0.5297916666666667,0.008729166666666668,0.9170050357270861,0.0046875,0.5792708333333333
174,0.553831637296999,0.4821041666666666,0.0081875,0.9171114770658795,0.004520833333333334,0.5789791666666667
175,0.5538027587856961,0.5136458333333334,0.0081875,0.9171433825244745,0.004479166666666667,0.5790000000000001
176,0.5541969602271815,0.4826458333333334,0.008708333333333334,0.9171304198651034,0.0045,0.5795416666666666
177,0.5538522370985483,0.5132291666666667,0.008583333333333333,0.9170375951813634,0.0046458333333333325,0.58
178,0.5544780439024188,0.5334375,0.009354166666666667,0.9170905629768047,0.0045625,0.5803333333333334
179,0.5539804214982444,0.52425,0.008812500000000001,0.9169516522051157,0.004791666666666666,0.5796875
180,0.5537498033148912,0.5274583333333333,0.008375,0.9170067046459082,0.0047083333333333335,0.5792708333333333
181,0.5540521275419361,0.4809583333333333,0.008541666666666668,0.9172696154619248,0.004291666666666667,0.5796666666666667
182,0.5539918339923874,0.47500000000000003,0.008291666666666668,0.9173843613916493,0.0041041666666666666,0.5795416666666666
183,0.5539572460188591,0.4439166666666667,0.007791666666666666,0.9174671714987813,0.0039791666666666664,0.579375
184,0.5534622963970398,0.48816666666666664,0.0076875,0.9175405005465613,0.0038541666666666668,0.5793958333333333
185,0.5535850574558043,0.4785,0.0076875,0.9175935753312444,0.003770833333333333,0.5794583333333333
186,0.5535591586022032,0.45737500000000003,0.007729166666666666,0.9173165501519739,0.004208333333333334,0.57975
187,0.5539696800793861,0.4926041666666667,0.008333333333333333,0.9174741694697154,0.003958333333333334,0.5800625
188,0.5536732304220654,0.480875,0.007770833333333334,0.9175928066089142,0.003770833333333333,0.5795625
189,0.5536595095765438,0.5468958333333332,0.0076458333333333335,0.9173430362598834,0.004166666666666667,0.5789166666666666
190,0.553529351322194,0.4814583333333333,0.007604166666666666,0.9172798990542703,0.004270833333333334,0.5790624999999999
191,0.5539674396182855,0.5587083333333333,0.008145833333333333,0.9174782671075011,0.003958333333333334,0.5793333333333334
192,0.5538090793795739,0.505125,0.0083125,0.9173967091537604,0.004083333333333334,0.5794791666666667
193,0.5540257713045585,0.5542916666666667,0.008041666666666667,0.9172066652703946,0.004375,0.5792708333333333
194,0.5536280544886579,0.47291666666666665,0.008104166666666668,0.9172753649654292,0.004270833333333334,0.5790416666666667
195,0.5540062319129787,0.5138333333333334,0.008354166666666666,0.9171810973791669,0.004416666666666667,0.5784166666666667
196,0.5538591836120872,0.4580416666666666,0.008395833333333333,0.9171416179508163,0.004479166666666666,0.5784791666666667
197,0.5537836099332191,0.5340416666666666,0.0085,0.9171281066260746,0.0045,0.5786458333333333
198,0.5539211333616684,0.4984583333333334,0.008166666666666668,0.9171922707739162,0.004395833333333334,0.5785625
199,0.5540781616266898,0.5238333333333333,0.008083333333333333,0.9174170449535769,0.0040416666666666665,0.5788125000000001
200,0.5536979293465522,0.4644375,0.007770833333333334,0.9174722075721565,0.003958333333333334,0.5792916666666666
201,0.5535799674790867,0.4714583333333333,0.0078125,0.9173552693369826,0.004145833333333334,0.5791458333333334
202,0.5538062950137457,0.5031458333333334,0.007979166666666667,0.9172855790660579,0.00425,0.5792916666666666
203,0.5537464967755963,0.45181249999999995,0.007854166666666667,0.9173121382055774,0.004208333333333334,0.5784583333333333
204,0.5535477563026739,0.504625,0.007770833333333334,0.9172972539007457,0.004229166666666667,0.5786666666666667
205,0.5537489067148412,0.41577083333333337,0.0076875,0.9174728686114646,0.003958333333333334,0.5788125000000001
206,0.5536182479577213,0.5257291666666667,0.007770833333333334,0.9172861500060626,0.00425,0.5785208333333334
207,0.5537322382266585,0.4677708333333333,0.0076458333333333335,0.9173488124142035,0.004145833333333333,0.5787291666666666
208,0.5539885916606387,0.4749791666666667,0.008229166666666668,0.9170858544117798,0.0045625,0.5786875
209,0.5541705023230207,0.45612499999999995,0.008958333333333334,0.9171940811381892,0.004395833333333334,0.5795
210,0.5541671804736596,0.5147708333333333,0.009020833333333334,0.9173094381606451,0.004208333333333334,0.5796458333333333
211,0.5542795118292739,0.5091666666666667,0.009041666666666668,0.9171375358517561,0.004479166666666667,0.5794583333333333
212,0.5541759725683081,0.45497916666666666,0.008583333333333333,0.917103686293745,0.004541666666666667,0.5793333333333334
213,0.5536507491680748,0.4783125,0.0081875,0.9171543654853661,0.004458333333333333,0.5790416666666667
214,0.5538507085208825,0.4344791666666666,0.008104166666666668,0.9171513410664992,0.004458333333333333,0.5790208333333333
215,0.5535363929076874,0.48691666666666666,0.008041666666666667,0.9169119136547638,0.004833333333333333,0.5782916666666668
216,0.5542049136249356,0.4288541666666667,0.0085625,0.9171380454032173,0.004479166666666667,0.5786041666666666
217,0.5540880359717378,0.5092916666666666,0.008812500000000001,0.9173090537649676,0.004208333333333334,0.5788541666666667
218,0.5538052152939476,0.4796875,0.008416666666666668,0.917255716884891,0.004291666666666667,0.5787916666666666
219,0.5541014292478713,0.4948958333333333,0.008625,0.9171768684985194,0.004416666666666667,0.5786458333333333
220,0.5539636744998213,0.5059583333333334,0.008354166666666668,0.917125247093925,0.0045000000000000005,0.5784583333333333
221,0.5536090823549261,0.49035416666666665,0.008083333333333333,0.9172865076326508,0.00425,0.5785416666666666
222,0.5539491234135093,0.4765,0.008333333333333333,0.9173236404695863,0.0041875,0.5789583333333334
223,0.5536526592265661,0.4688958333333333,0.00825,0.9173060523815756,0.004208333333333334,0.5789791666666666
224,0.5540236535183102,0.4890208333333333,0.008499999999999999,0.9175206370688863,0.003875,0.5788958333333333
225,0.5538370005676474,0.5036041666666667,0.008458333333333333,0.9175319609500302,0.0038541666666666668,0.5790833333333333
226,0.5538105675570605,0.5005833333333333,0.0084375,0.9172269239424473,0.004333333333333334,0.5786041666666667
227,0.5535952350939298,0.49995833333333334,0.0077083333333333335,0.9173445651330253,0.004145833333333334,0.5785833333333333
228,0.5537236442579376,0.5086041666666666,0.007770833333333334,0.9172561938594423,0.004291666666666667,0.5786041666666667
229,0.5537527455330615,0.4933541666666667,0.007916666666666667,0.9170661307080188,0.004583333333333333,0.5784375
230,0.5534849378557563,0.4932708333333333,0.007729166666666666,0.9171222899496266,0.0045,0.5783541666666666
231,0.5535423874417373,0.4789583333333334,0.0077083333333333335,0.9172684484054677,0.004270833333333334,0.5786250000000001
232,0.5536278226312222,0.5221458333333334,0.0076875,0.9175202957965114,0.003875,0.5787291666666666
233,0.5534035002379305,0.4651458333333333,0.0075,0.9174966426251411,0.003916666666666666,0.5788749999999999
234,0.5536849215760312,0.49922916666666667,0.007729166666666666,0.9174544605618173,0.0039791666666666664,0.5790208333333334
